sexo,ingreso,escolaridad,experiencia,Fuerzas Armada,"Profesionales, científicos e intelectuales",Técnicos profesionales de nivel medio,Empleados de oficina,experienciacuadrado
1,12.4292162,12,38,0,0,0,0,1444
1,12.20607265,7,8,0,0,0,0,64
0,12.54877543,12,6,0,0,0,0,36
0,12.64995686,12,10,0,0,0,0,100
0,12.74159186,15,5,0,0,0,0,25
1,11.77528973,7,49,0,0,0,0,2401
1,13.29631668,12,41,0,0,0,0,1681
1,13.19932442,14,3,0,0,1,0,9
0,13.19932442,12,5,0,0,0,0,25
1,12.72486644,12,32,0,0,0,0,1024
1,12.94800999,15,3,0,0,1,0,9
0,12.20607265,8,34,0,0,0,0,1156
1,12.84792653,12,16,0,0,0,1,256
0,12.61153775,12,25,0,0,0,0,625
1,12.71689727,6,56,0,0,0,0,3136
1,12.50617724,12,35,0,0,0,1,1225
0,11.8493977,12,1,0,0,0,0,1
0,11.88720946,12,47,0,0,0,0,2209
1,13.12236338,12,42,0,0,0,0,1764
1,13.12236338,17,9,0,1,0,0,81
1,12.89921983,12,25,0,0,1,0,625
0,12.864266,11,35,0,0,0,0,1225
0,13.81551056,17,4,0,1,0,0,16
1,13.45883561,17,6,0,1,0,0,36
1,13.01700286,17,11,0,0,1,0,121
0,13.30468493,12,38,0,0,0,0,1444
1,12.76568843,12,26,0,0,1,0,676
1,12.3883942,12,13,0,0,0,0,169
1,12.46843691,12,34,0,0,0,0,1156
0,12.77563876,12,15,0,0,0,0,225
1,12.76568843,12,7,0,0,0,0,49
0,12.67607627,12,27,0,0,0,0,729
1,12.67607627,9,29,0,0,0,0,841
0,12.20607265,10,6,0,0,0,0,36
0,12.46843691,12,26,0,0,0,0,676
1,12.47800636,12,17,0,0,0,0,289
1,13.12236338,1,43,0,0,0,0,1849
1,12.61153775,12,13,0,0,0,0,169
1,12.789218,15,48,0,0,0,0,2304
1,12.61153775,12,22,0,0,0,1,484
0,13.81551056,12,30,0,0,0,0,900
0,13.12236338,11,26,0,0,0,0,676
0,13.60066622,12,42,0,0,0,1,1764
0,14.07787482,6,39,0,0,0,0,1521
1,12.89921983,12,30,0,0,0,1,900
1,12.89921983,14,14,0,0,1,0,196
0,13.81551056,16,15,0,0,0,0,225
1,13.81551056,16,12,0,0,0,0,144
0,12.89921983,12,28,0,0,0,0,784
1,12.82125828,12,31,0,0,0,0,961
1,13.21767356,17,6,0,1,0,0,36
0,14.10040525,17,14,1,0,0,0,196
0,14.40329722,17,12,1,0,0,0,144
0,14.69789988,16,42,0,1,0,0,1764
1,12.5305699,14,28,0,0,0,1,784
0,13.81551056,17,43,0,1,0,0,1849
1,13.30468493,11,55,0,0,1,0,3025
0,14.13759406,18,35,0,1,0,0,1225
1,14.50865774,15,29,0,0,0,1,841
1,12.10071213,12,23,0,0,0,0,529
0,12.76568843,12,32,0,0,0,0,1024
0,12.76568843,12,22,0,0,0,0,484
1,12.76568843,12,20,0,0,1,0,400
0,13.21767356,17,24,0,0,1,0,576
1,12.89921983,12,20,0,0,0,1,400
0,12.61153775,8,49,0,0,0,0,2401
1,12.61153775,8,55,0,0,0,0,3025
0,13.60189893,17,6,0,1,0,0,36
1,13.45186567,17,12,0,1,0,0,144
1,12.50617724,4,38,0,0,0,0,1444
1,12.20607265,17,5,0,0,0,0,25
0,14.50990696,17,24,0,1,0,0,576
1,13.8924716,17,6,0,1,0,0,36
1,14.771022,17,15,0,1,0,0,225
0,14.60396792,17,16,0,1,0,0,256
0,14.41480465,17,21,0,1,0,0,441
0,13.25499912,12,7,0,0,0,0,49
0,12.92391244,12,7,0,0,0,1,49
0,14.15198279,17,23,0,1,0,0,529
1,13.81551056,17,7,0,1,0,0,49
0,13.54980783,17,5,0,0,1,0,25
1,12.92391244,15,25,0,0,0,1,625
0,13.45883561,15,30,0,0,0,0,900
0,12.20607265,17,19,0,1,0,0,361
0,14.5446685,17,17,0,0,0,0,289
0,13.93772819,15,16,0,0,0,0,256
0,14.5490907,17,4,0,1,0,0,16
0,14.84512998,18,42,0,1,0,0,1764
1,13.01700286,10,54,0,0,1,0,2916
0,14.18965698,17,6,0,1,0,0,36
1,12.04453559,14,7,0,0,0,0,49
0,13.81784084,15,22,0,0,0,0,484
0,14.08426437,17,19,0,0,0,0,361
0,13.71255493,14,16,1,0,0,0,256
0,13.46595308,12,10,1,0,0,0,100
1,12.92796762,12,10,0,0,0,0,100
0,13.13165408,12,24,0,0,0,0,576
1,12.88029182,12,22,0,0,0,0,484
0,13.93506979,15,20,1,0,0,0,400
1,13.31298374,15,20,0,0,1,0,400
1,10.71049899,12,5,0,0,0,0,25
0,13.59236701,12,24,1,0,0,0,576
1,13.06931486,11,22,0,0,0,0,484
0,13.53060197,12,23,1,0,0,0,529
1,13.45046784,12,22,0,0,1,0,484
0,13.73375806,14,14,1,0,0,0,196
0,14.118081,14,20,0,1,0,0,400
1,14.41955326,20,20,0,1,0,0,400
0,13.142166,14,38,0,0,0,0,1444
0,12.89921983,10,7,0,0,0,0,49
1,13.04907415,12,38,0,0,0,0,1444
0,13.40024811,15,33,0,0,0,0,1089
1,13.50079981,17,13,0,0,1,0,169
0,13.3067661,12,18,0,0,0,0,324
1,12.74159186,12,14,0,0,0,0,196
1,13.12900726,17,13,0,0,0,1,169
0,13.23569206,15,24,0,0,1,0,576
1,13.24752711,17,27,0,0,0,1,729
1,13.12735092,15,30,0,0,1,0,900
0,12.61153775,12,14,0,0,1,0,196
0,14.28551419,12,35,0,0,0,0,1225
0,11.91839057,8,16,0,0,0,0,256
0,13.52782849,8,18,0,0,0,0,324
0,12.61153775,12,25,0,0,0,1,625
0,12.89921983,15,16,0,0,0,0,256
1,12.5526119,12,34,0,0,1,0,1156
0,12.95197118,11,35,0,0,0,0,1225
1,12.7728059,12,2,0,0,0,0,4
0,12.4292162,12,7,0,0,0,0,49
0,13.01700286,10,10,0,0,0,0,100
1,11.69524702,8,10,0,0,0,0,100
0,12.91574995,10,15,0,0,0,0,225
0,13.30468493,12,35,0,0,0,0,1225
1,12.92391244,8,32,0,0,0,0,1024
1,12.78455785,12,14,0,0,0,0,196
0,12.62258649,12,7,0,0,0,0,49
1,11.28978191,16,21,0,0,1,0,441
0,12.61153775,16,1,0,0,0,0,1
0,12.46843691,12,28,0,0,0,0,784
0,12.4874851,8,22,0,0,0,0,484
1,12.98310131,1,49,0,0,0,0,2401
1,14.86282955,11,13,0,0,0,0,169
0,12.52452638,8,28,0,0,0,0,784
1,12.4292162,8,54,0,0,0,0,2916
1,12.61153775,12,44,0,0,0,0,1936
0,12.90958344,12,47,0,0,0,0,2209
1,12.87390202,12,16,0,0,0,0,256
0,13.02346416,12,20,0,0,0,0,400
1,12.20607265,12,30,0,0,0,0,900
1,12.61153775,12,19,0,0,0,0,361
1,12.20607265,12,4,0,0,0,1,16
0,12.61153775,15,21,0,0,0,0,441
1,12.13350195,5,56,0,0,0,0,3136
1,12.13350195,12,14,0,0,0,0,196
1,12.61153775,12,22,0,0,0,0,484
0,13.81551056,12,22,0,0,0,0,484
1,12.30138283,12,2,0,0,0,0,4
1,13.12236338,12,16,0,0,0,1,256
0,13.30468493,12,23,0,0,0,1,529
1,12.54254488,16,14,0,0,0,1,196
0,12.84792653,15,12,0,0,1,0,144
0,12.4292162,3,55,0,0,0,0,3025
0,12.61153775,6,42,0,0,0,0,1764
0,13.21767356,15,23,0,0,0,0,529
0,11.77528973,8,40,0,0,0,0,1600
1,11.51292546,8,38,0,0,0,0,1444
0,12.10071213,15,31,0,0,0,0,961
0,12.76568843,9,28,0,0,0,0,784
1,11.91839057,12,4,0,0,0,0,16
1,12.52452638,12,12,0,0,0,0,144
1,12.52815614,9,24,0,0,0,0,576
0,12.45293272,9,25,0,0,0,0,625
1,12.76568843,12,12,0,0,0,1,144
0,13.01700286,12,44,0,0,1,0,1936
0,12.8696185,12,15,0,0,0,0,225
1,12.7609142,14,5,0,0,0,1,25
0,12.61153775,15,0,0,0,1,0,0
0,12.89921983,11,26,0,0,0,0,676
1,12.76568843,12,12,0,0,0,1,144
1,11.28978191,12,41,0,0,0,0,1681
1,12.61153775,12,24,0,0,1,0,576
0,12.89921983,10,35,0,0,0,0,1225
1,13.12236338,6,39,0,0,0,0,1521
0,13.90015773,12,13,0,0,0,0,169
1,12.92391244,9,7,0,0,0,0,49
0,13.38472764,12,19,0,0,0,0,361
0,12.46843691,15,3,0,0,0,0,9
1,13.08154138,12,19,0,0,0,0,361
0,11.91839057,15,28,0,0,0,0,784
0,13.12236338,7,37,0,0,0,0,1369
0,13.30468493,12,23,0,0,0,0,529
0,12.59473064,15,27,0,0,0,0,729
0,13.02093955,12,26,0,0,0,0,676
0,13.52782849,12,22,0,0,0,0,484
0,12.50617724,12,25,0,0,0,0,625
1,12.50617724,11,23,0,0,0,0,529
0,13.01700286,11,51,0,0,0,0,2601
0,12.84792653,8,55,0,0,0,0,3025
0,12.94800999,10,36,0,0,0,0,1296
1,13.01700286,10,30,0,0,0,0,900
0,13.30468493,12,5,0,0,0,0,25
0,12.20607265,14,4,0,0,0,1,16
0,12.5776362,12,0,0,0,0,1,0
1,11.69524702,14,5,0,0,0,0,25
0,12.45293272,6,43,0,0,0,0,1849
1,12.64969059,12,20,0,0,0,0,400
1,9.903487553,11,0,0,0,0,0,0
0,12.54254488,12,40,0,0,0,0,1600
0,13.07980446,12,11,0,0,0,0,121
1,12.54254488,12,10,0,0,0,0,100
0,11.69524702,12,35,0,0,0,0,1225
1,11.98292909,12,40,0,0,0,0,1600
0,12.45293272,12,12,0,0,0,0,144
1,12.30893153,12,14,0,0,0,1,196
0,13.12236338,12,16,0,0,0,0,256
1,12.42118403,10,56,0,0,0,1,3136
0,12.42118403,12,27,0,0,0,0,729
1,12.3883942,12,16,0,0,0,0,256
0,13.30468493,12,42,0,0,0,0,1764
1,12.89921983,12,41,0,0,0,0,1681
1,12.20607265,9,38,0,0,0,0,1444
1,12.50617724,12,12,0,0,0,0,144
0,13.59236701,12,37,0,0,0,0,1369
1,12.30138283,10,36,0,0,0,0,1296
0,13.63604891,16,6,0,0,0,0,36
0,12.46893679,10,4,0,0,0,0,16
1,10.81977828,0,70,0,0,0,0,4900
1,12.42118403,12,7,0,0,0,0,49
0,13.30468493,3,27,0,0,0,0,729
1,13.71015004,18,3,0,0,1,0,9
0,12.51967097,16,1,0,0,0,0,1
1,12.85883263,15,18,0,0,1,0,324
0,11.91839057,12,17,0,0,0,0,289
1,11.15625052,12,21,0,0,0,0,441
1,12.8696185,15,21,0,0,0,1,441
0,12.52452638,14,0,0,1,0,0,0
0,12.43486819,12,55,0,0,0,0,3025
1,13.37829778,12,33,0,0,0,0,1089
0,10.81977828,12,43,0,0,0,0,1849
0,12.9075178,12,6,0,0,0,0,36
0,12.52815614,12,6,0,0,0,0,36
0,12.61153775,9,12,0,0,0,0,144
0,13.01700286,12,48,0,0,0,0,2304
1,12.61153775,12,39,0,0,0,0,1521
0,12.89921983,14,8,0,0,0,0,64
0,14.22097567,16,51,0,0,0,0,2601
0,12.78689064,12,17,0,0,0,0,289
1,12.54254488,12,17,0,0,0,0,289
0,12.76568843,17,50,0,0,0,0,2500
0,12.61153775,8,22,0,0,0,0,484
1,12.61153775,12,15,0,0,0,0,225
0,13.46358574,14,19,1,0,0,0,361
1,12.52452638,12,3,0,0,0,1,9
0,13.5996318,16,4,1,0,0,0,16
1,13.13889202,16,0,1,0,0,0,0
0,13.68568657,15,5,0,0,0,0,25
0,13.12236338,15,17,0,1,0,0,289
0,13.22220871,15,18,1,0,0,0,324
0,13.59236701,16,8,0,0,1,0,64
1,13.99783211,17,10,0,0,0,0,100
0,13.30468493,15,19,1,0,0,0,361
0,13.71015004,15,7,1,0,0,0,49
1,13.12236338,15,4,0,0,1,0,16
0,12.89921983,14,17,1,0,0,0,289
0,13.0039559,15,4,1,0,0,0,16
0,13.66468767,12,11,1,0,0,0,121
1,12.84792653,12,10,0,0,0,0,100
0,13.14053134,15,4,1,0,0,0,16
0,14.07787482,15,18,0,0,0,0,324
0,13.71273891,15,8,0,0,0,0,64
1,13.39048029,15,2,0,0,0,0,4
0,13.12236338,15,6,1,0,0,0,36
0,13.45883561,16,12,0,0,0,0,144
1,12.86876062,15,6,0,0,1,0,36
0,13.12236338,12,24,1,0,0,0,576
0,13.52782849,12,22,0,0,0,0,484
1,13.38472764,12,23,0,0,0,0,529
0,13.45883561,12,6,1,0,0,0,36
1,13.01700286,12,9,0,0,0,0,81
0,12.76568843,15,7,1,0,0,0,49
0,13.02988179,15,4,0,0,0,0,16
0,13.142166,15,9,0,0,1,0,81
0,13.76946662,15,12,0,0,0,0,144
1,13.30468493,17,10,0,1,0,0,100
0,13.30468493,12,5,1,0,0,0,25
1,12.4292162,12,6,0,0,1,0,36
0,12.89921983,8,27,0,0,0,0,729
1,12.54610995,8,26,0,0,0,0,676
1,11.51292546,8,39,0,0,0,0,1521
0,13.2017899,10,13,0,0,0,1,169
0,11.91839057,8,29,0,0,0,0,841
0,13.47898832,9,11,0,0,0,1,121
0,12.54699923,8,56,0,0,0,0,3136
0,12.54699923,10,16,0,0,0,0,256
0,12.66560603,8,38,0,0,0,0,1444
0,12.61153775,3,12,0,0,0,0,144
1,9.903487553,10,8,0,0,0,0,64
1,12.50617724,12,30,0,0,0,0,900
0,12.89921983,12,24,0,0,0,0,576
0,12.77422334,12,7,0,0,0,0,49
1,12.50617724,12,9,0,0,0,0,81
0,12.76568843,12,12,0,0,0,0,144
1,12.52149269,12,6,0,0,0,0,36
0,11.51292546,7,6,0,0,0,0,36
0,12.61153775,6,59,0,0,0,0,3481
0,12.20607265,5,54,0,0,0,0,2916
0,10.81977828,6,51,0,0,0,0,2601
0,12.59473064,14,29,0,0,0,0,841
0,12.18075484,10,17,0,0,0,0,289
1,13.82957814,17,9,0,0,0,0,81
1,13.60992078,17,8,0,1,0,0,64
0,14.2818619,19,6,0,1,0,0,36
0,13.18063229,10,35,0,0,0,0,1225
1,12.54254488,15,3,0,0,0,0,9
0,12.51722707,4,22,0,0,0,0,484
1,11.89591999,12,13,0,0,0,0,169
0,12.84792653,8,33,0,0,0,0,1089
0,13.21767356,12,19,0,0,0,0,361
0,12.81038861,12,29,0,0,0,0,841
1,12.61153775,12,29,0,0,0,0,841
0,12.76568843,12,46,0,0,0,0,2116
0,13.1884638,12,9,0,0,0,0,81
0,13.30468493,11,14,0,0,0,0,196
1,12.20607265,9,15,0,0,0,0,225
1,12.50617724,8,41,0,0,0,0,1681
1,12.61153775,6,17,0,0,0,1,289
0,12.61431057,11,34,0,0,0,0,1156
1,12.7367009,10,21,0,0,0,0,441
0,12.89921983,13,41,0,0,0,0,1681
0,12.34583459,6,68,0,0,0,0,4624
1,12.85339314,12,10,0,0,0,0,100
0,13.04503299,12,11,0,0,0,0,121
0,13.31241333,9,35,0,0,0,0,1225
1,12.94032578,12,31,0,0,0,0,961
0,13.02988179,10,3,0,0,0,0,9
0,13.41254183,14,21,0,1,0,0,441
1,12.54254488,17,18,0,1,0,0,324
1,13.03170974,12,21,0,0,1,0,441
0,13.76684539,17,25,0,0,0,0,625
1,13.44299655,16,38,0,0,0,0,1444
1,12.15477935,10,49,0,0,1,0,2401
0,13.12236338,17,9,0,0,1,0,81
0,13.20068645,15,9,0,0,1,0,81
1,12.76187259,13,28,0,0,1,0,784
1,13.27936713,15,16,0,0,1,0,256
1,13.1522464,17,11,0,0,1,0,121
1,13.32937755,12,39,0,0,0,1,1521
0,13.19778063,12,17,0,0,0,0,289
1,13.12236338,12,36,0,0,1,0,1296
0,12.20607265,11,37,0,0,0,0,1369
1,12.20607265,12,34,0,0,0,0,1156
1,12.89921983,12,4,0,0,1,0,16
0,12.52452638,12,8,0,0,0,0,64
0,12.5305699,9,50,0,0,0,0,2500
0,13.18063229,12,30,0,0,0,0,900
1,12.54254488,12,29,0,0,0,0,841
1,12.52452638,12,43,0,0,0,0,1849
1,12.52452638,16,16,0,1,0,0,256
0,12.50617724,10,47,0,0,0,0,2209
0,13.59424025,17,11,0,0,1,0,121
0,13.59236701,12,32,0,0,0,0,1024
0,12.85317589,12,10,0,0,0,0,100
0,12.61153775,12,63,0,0,0,0,3969
0,12.61153775,11,34,0,0,0,0,1156
0,14.15198279,17,5,0,1,0,0,25
1,11.2301646,17,0,0,0,0,0,0
0,11.51292546,11,34,0,0,0,0,1156
0,13.71015004,16,7,0,0,0,1,49
1,13.30468493,12,43,0,0,1,0,1849
1,13.12236338,11,40,0,0,0,0,1600
1,14.07787482,17,16,0,0,0,0,256
0,13.89166109,17,6,0,1,0,0,36
1,12.67659801,12,40,0,0,0,0,1600
0,12.67607627,12,21,0,0,0,0,441
0,12.61569576,0,78,0,0,0,0,6084
1,11.69524702,11,56,0,0,0,0,3136
0,12.91902245,17,16,0,0,0,0,256
1,13.81551056,17,1,0,1,0,0,1
0,12.20607265,10,44,0,0,0,0,1936
0,12.61153775,8,22,0,0,0,0,484
1,12.84792653,13,30,0,0,0,1,900
0,12.54254488,12,27,0,0,0,0,729
1,14.08680941,17,3,0,1,0,0,9
0,13.45883561,15,3,0,0,1,0,9
1,12.9360338,12,13,0,0,0,1,169
1,12.67137775,12,40,0,0,0,0,1600
0,12.68385842,12,21,0,0,0,0,441
1,12.10071213,12,19,0,0,0,0,361
0,13.12236338,16,37,0,0,0,0,1369
1,12.20607265,12,43,0,0,1,0,1849
1,12.69720462,12,44,0,0,0,0,1936
0,12.76568843,10,47,0,0,1,0,2209
0,12.76568843,10,47,0,0,0,0,2209
0,13.81551056,15,13,0,0,1,0,169
1,13.13889202,17,17,0,0,1,0,289
0,14.08110192,17,35,0,0,1,0,1225
1,13.13725199,15,21,0,0,1,0,441
0,13.81551056,12,32,0,0,0,0,1024
0,13.81551056,15,18,0,0,1,0,324
1,11.91839057,15,17,0,0,1,0,289
0,13.21918696,15,4,0,0,1,0,16
1,12.88156489,12,16,0,0,0,0,256
0,14.51860807,17,26,0,0,1,0,676
1,14.16028183,17,24,0,1,0,0,576
0,12.94004262,12,43,0,0,0,0,1849
1,13.45883561,15,8,0,0,0,0,64
0,14.22097567,16,31,0,0,1,0,961
0,12.4569831,17,7,0,0,0,0,49
0,12.65191165,12,8,0,0,0,0,64
0,13.18063229,12,32,0,0,0,0,1024
1,12.89921983,12,7,0,0,0,1,49
0,13.31298374,12,12,0,0,0,0,144
0,12.89921983,10,44,0,0,0,0,1936
1,11.91839057,12,14,0,0,0,0,196
0,13.21767356,12,21,0,0,1,0,441
1,12.40901349,12,13,0,0,0,0,169
0,13.01700286,11,26,0,0,0,0,676
0,13.01700286,12,25,0,0,0,1,625
0,13.71384654,20,20,0,1,0,0,400
1,13.02438223,12,23,0,0,0,0,529
0,13.01700286,12,16,0,0,0,1,256
0,14.22097567,11,55,0,0,0,0,3025
1,13.45883561,8,19,0,0,0,0,361
0,13.12735092,17,17,0,0,0,0,289
1,12.70684793,12,29,0,0,0,0,841
1,12.34583459,15,19,0,0,0,0,361
1,9.328123408,9,60,0,0,0,0,3600
1,12.1802778,9,46,0,0,0,0,2116
1,12.67997492,12,18,0,0,0,0,324
0,12.20607265,13,3,0,0,0,0,9
1,12.4292162,12,43,0,0,0,0,1849
0,13.06931486,14,8,0,0,1,0,64
1,13.9487294,17,11,0,1,0,0,121
1,12.50617724,9,34,0,0,0,0,1156
0,12.20607265,10,23,0,0,0,0,529
1,12.76568843,16,15,0,0,1,0,225
0,12.01974307,12,50,0,0,0,0,2500
1,12.61153775,7,42,0,0,0,0,1764
1,12.50617724,15,7,0,0,0,0,49
1,12.50617724,12,2,0,0,0,0,4
0,12.50617724,10,3,0,0,0,0,9
0,12.50617724,12,20,0,0,0,0,400
0,12.82125828,12,15,0,0,0,0,225
1,12.61153775,12,14,0,0,0,0,196
0,13.12236338,12,16,0,0,0,0,256
1,10.71441777,12,18,0,0,0,0,324
0,12.50617724,12,14,0,0,0,0,196
1,12.4292162,12,14,0,0,0,0,196
0,12.61153775,12,19,0,0,0,0,361
1,12.50617724,12,5,0,0,0,0,25
0,12.76568843,15,14,0,0,1,0,196
1,12.76568843,15,14,0,0,0,0,196
0,13.01700286,14,40,0,0,1,0,1600
1,11.69524702,12,5,0,0,0,0,25
1,12.7512997,10,12,0,0,0,0,144
1,13.64115717,8,43,0,0,0,0,1849
1,11.08214255,13,36,0,0,0,1,1296
1,13.72028407,17,6,0,0,1,0,36
1,12.50864087,12,19,0,0,0,0,361
0,13.02162107,12,20,0,0,0,0,400
0,12.4292162,9,36,0,0,0,0,1296
0,13.12236338,12,30,0,0,0,0,900
0,11.00209984,12,12,0,0,0,0,144
0,12.4292162,9,19,0,0,0,0,361
1,13.81883802,17,20,0,1,0,0,400
0,13.8196689,19,31,0,1,0,0,961
1,13.89555296,18,25,0,1,0,0,625
1,13.4468599,13,7,0,0,0,0,49
0,12.72629399,10,50,0,0,1,0,2500
1,13.21767356,15,40,0,0,1,0,1600
0,14.17969037,13,28,0,0,1,0,784
1,13.64115717,13,28,0,0,0,0,784
0,14.15198279,14,9,0,1,0,0,81
0,13.45883561,15,24,0,0,0,0,576
0,13.99783211,10,57,0,0,1,0,3249
0,12.70684793,14,1,0,0,0,0,1
1,12.20607265,17,33,0,0,0,0,1089
0,12.30138283,12,7,0,0,0,1,49
0,13.30815059,11,40,0,0,0,0,1600
1,11.91839057,11,37,0,0,0,0,1369
1,12.89921983,12,8,0,0,0,1,64
0,13.12236338,12,22,0,0,0,0,484
1,11.00209984,12,25,0,0,0,0,625
0,13.52782849,12,16,0,0,0,0,256
1,10.30895266,12,17,0,0,0,0,289
0,12.76568843,12,35,0,0,0,0,1225
1,13.01700286,12,13,0,0,0,1,169
1,12.70684793,12,7,0,0,0,1,49
0,13.21767356,12,20,0,0,0,0,400
0,12.94800999,13,6,0,0,0,0,36
1,11.56171563,11,55,0,0,0,0,3025
0,12.65191165,12,7,0,0,0,0,49
0,12.61153775,12,13,0,0,0,0,169
1,12.50617724,12,17,0,0,0,0,289
0,13.21767356,12,10,0,0,0,0,100
